UserID,Trial_no,ab_ad_angle,ex_angle,Method,ObjectType,Block,best,lowerbound,upperbound,duration,MethodBlock,ObjectBlock,Repetition,ForceLevel
12,17,,55.0,extension only,real,3,,,,,2,1,2,30
12,18,,25.0,extension only,real,3,,,,,2,1,2,10
12,19,,40.0,extension only,virtual,4,,,,,2,2,1,20
12,20,,25.0,extension only,virtual,4,,,,,2,2,1,10
12,21,,55.0,extension only,virtual,4,,,,,2,2,1,30
12,22,,40.0,extension only,virtual,4,,,,,2,2,2,20
12,23,,25.0,extension only,virtual,4,,,,,2,2,2,10
12,24,,55.0,extension only,virtual,4,,,,,2,2,2,30
12,25,30.0,,inter-finger only,virtual,5,,,,,3,1,1,30
12,26,10.0,,inter-finger only,virtual,5,,,,,3,1,1,10
12,27,20.0,,inter-finger only,virtual,5,,,,,3,1,1,20
12,28,20.0,,inter-finger only,virtual,5,,,,,3,1,2,20
12,29,10.0,,inter-finger only,virtual,5,,,,,3,1,2,10
12,30,30.0,,inter-finger only,virtual,5,,,,,3,1,2,30
12,31,20.0,,inter-finger only,real,6,,,,,3,2,1,20
12,32,10.0,,inter-finger only,real,6,,,,,3,2,1,10
12,33,30.0,,inter-finger only,real,6,,,,,3,2,1,30
12,34,20.0,,inter-finger only,real,6,,,,,3,2,2,20
12,35,10.0,,inter-finger only,real,6,,,,,3,2,2,10
12,36,30.0,,inter-finger only,real,6,,,,,3,2,2,30
